step,reward,cumulate reward
27.25,2.5,836.5
27.333,1,837.5
27.417,1.5,839
27.5,2.5,841.5
27.583,1.5,843
27.667,1.5,844.5
27.75,1.5,846
27.833,2,848
27.917,0.5,848.5
28,2,850.5
28.083,1.5,852
28.167,2.5,854.5
28.25,1,855.5
28.333,2.5,858
28.417,2,860
28.5,1,861
28.583,2,863
28.667,3,866
28.75,1.5,867.5
28.833,2,869.5
28.917,2,871.5
29,3,874.5
29.083,2,876.5
29.167,3,879.5
29.25,2,881.5
29.333,3,884.5
29.417,2,886.5
29.5,3,889.5
29.583,3,892.5
29.667,3,895.5
29.75,1.5,897
29.833,2.5,899.5
29.917,2.5,902
30,3.5,905.5
30.083,2,907.5
30.167,2.5,910
30.25,2.5,912.5
30.333,2.5,915
30.417,2,917
30.5,1.5,918.5
30.583,2,920.5
30.667,3,923.5
30.75,0.5,924
30.833,2.5,926.5
30.917,2.5,929
31,1,930
31.083,1,931
31.167,1.5,932.5
31.25,1,933.5
31.333,2.5,936
31.417,0.5,936.5
31.5,1.5,938
31.583,1.5,939.5
31.667,1,940.5
31.75,2,942.5
31.833,1,943.5
31.917,1,944.5
32,1.5,946
32.083,1.5,947.5
32.167,1.5,949
32.25,1.5,950.5
32.333,1,951.5
32.417,2,953.5
32.5,1,954.5
32.583,2,956.5
32.667,2.5,959
32.75,2,961
32.833,1,962
32.917,1.5,963.5
33,1.5,965
33.083,2.5,967.5
33.167,2,969.5
33.25,1,970.5
33.333,2,972.5
33.417,2,974.5
33.5,1.5,976
33.583,1,977
33.667,2.5,979.5
33.75,2,981.5
33.833,0,981.5
33.917,2,983.5
34,2.5,986
34.083,1.5,987.5
34.167,1.5,989
34.25,1.5,990.5
34.333,1,991.5
34.417,1.5,993
34.5,2,995
34.583,2,997
34.667,1,998
34.75,2.5,1000.5
34.833,1.5,1002
34.917,2.5,1004.5
35,2,1006.5
35.083,1.5,1008
35.167,0,1008
35.25,2,1010
35.333,2.5,1012.5
35.417,1.5,1014
35.5,1.5,1015.5
35.583,2.5,1018
35.667,2,1020
35.75,1.5,1021.5
35.833,2,1023.5
35.917,2,1025.5
36,2,1027.5
36.083,1.5,1029
36.167,2.5,1031.5
36.25,1.5,1033
36.333,1.5,1034.5
36.417,1,1035.5
36.5,1.5,1037
36.583,3,1040
36.667,0.5,1040.5
36.75,3.5,1044
36.833,0,1044
36.917,3,1047
37,3,1050
37.083,2.5,1052.5
37.167,0.5,1053
37.25,3,1056
37.333,3,1059
37.417,1,1060
37.5,1.5,1061.5
37.583,2,1063.5
37.667,2,1065.5
37.75,2,1067.5
37.833,2.5,1070
37.917,2,1072
38,3,1075
38.083,1.5,1076.5
38.167,2,1078.5
38.25,2,1080.5
38.333,2,1082.5
38.417,1,1083.5
38.5,2.5,1086
38.583,1,1087
38.667,2.5,1089.5
38.75,2,1091.5
38.833,1.5,1093
38.917,1,1094
39,1.5,1095.5
39.083,2.5,1098
39.167,1,1099
39.25,2,1101
39.333,1,1102
39.417,2.5,1104.5
39.5,2,1106.5
39.583,0,1106.5
39.667,2,1108.5
39.75,1.5,1110
39.833,2.5,1112.5
39.917,1,1113.5
40,0.5,1114
40.083,1,1115
40.167,1.5,1116.5
40.25,1.5,1118
40.333,0.5,1118.5
40.417,1,1119.5
40.5,1,1120.5
40.583,1.5,1122
40.667,1.5,1123.5
40.75,1,1124.5
40.833,0.5,1125
40.917,1,1126
41,1.5,1127.5
41.083,1.5,1129
41.167,0.5,1129.5
41.25,1.5,1131
41.333,1,1132
41.417,1,1133
41.5,0.5,1133.5
41.583,2,1135.5
41.667,1,1136.5
41.75,1,1137.5
41.833,0.5,1138
41.917,1,1139
42,1.5,1140.5
42.083,0.5,1141
42.167,1.5,1142.5
42.25,1,1143.5
42.333,0.5,1144
42.417,0.5,1144.5
42.5,0.5,1145
42.583,1,1146
42.667,0.5,1146.5
42.75,1.5,1148
42.833,0.5,1148.5
42.917,1,1149.5
43,1,1150.5
43.083,1,1151.5
43.167,1.5,1153
43.25,1.5,1154.5
43.333,1.5,1156
43.417,1,1157
43.5,1.5,1158.5
43.583,2,1160.5
43.667,0.5,1161
43.75,0.5,1161.5
43.833,2,1163.5
43.917,2,1165.5
44,0.5,1166
44.083,1,1167
44.167,2,1169
44.25,1,1170
44.333,1.5,1171.5
44.417,1.5,1173
44.5,1.5,1174.5
44.583,1,1175.5
44.667,1.5,1177
44.75,1.5,1178.5
44.833,1,1179.5
44.917,1,1180.5
45,1,1181.5
45.083,2,1183.5
45.167,1.5,1185
45.25,1,1186
45.333,0.5,1186.5
45.417,2,1188.5
45.5,2,1190.5
45.583,1,1191.5
45.667,0.5,1192
45.75,1.5,1193.5
45.833,1.5,1195
45.917,1,1196
46,0.5,1196.5
46.083,1.5,1198
46.167,1.5,1199.5
46.25,1.5,1201
46.333,0.5,1201.5
46.417,2,1203.5
46.5,0.5,1204
46.583,1.5,1205.5
46.667,1.5,1207
46.75,0,1207
46.833,1,1208
46.917,1.5,1209.5
47,1,1210.5
47.083,1,1211.5
47.167,0.5,1212
47.25,1.5,1213.5
47.333,1.5,1215
47.417,1,1216
47.5,1,1217
47.583,1,1218
