step,reward,cumulate reward
22.333,1.0,576.5
22.417,1.5,578.0
22.5,1.0,579.0
22.583,1.0,580.0
22.667,2.0,582.0
22.75,1.5,583.5
22.833,1.0,584.5
22.917,1.5,586.0
23.0,0.5,586.5
23.083,1.0,587.5
23.167,2.5,590.0
23.25,0.5,590.5
23.333,1.5,592.0
23.417,1.0,593.0
23.5,1.5,594.5
23.583,0.5,595.0
23.667,0.5,595.5
23.75,1.0,596.5
23.833,1.5,598.0
23.917,1.0,599.0
24.0,1.5,600.5
24.083,0.0,600.5
24.167,0.0,600.5
24.25,0.0,600.5
24.333,0.0,600.5
24.417,0.0,600.5
24.5,0.0,600.5
24.583,0.0,600.5
24.667,0.0,600.5
24.75,0.0,600.5
24.833,0.0,600.5
24.917,0.0,600.5
25.0,0.5,601.0
25.083,0.5,601.5
25.167,0.0,601.5
25.25,0.0,601.5
25.333,0.0,601.5
25.417,0.0,601.5
25.5,0.0,601.5
25.583,0.5,602.0
25.667,1.0,603.0
25.75,0.0,603.0
25.833,0.5,603.5
25.917,0.0,603.5
26.0,0.5,604.0
26.083,0.5,604.5
26.167,0.0,604.5
26.25,0.5,605.0
26.333,1.0,606.0
26.417,1.0,607.0
26.5,1.0,608.0
26.583,0.0,608.0
26.667,0.0,608.0
26.75,0.0,608.0
26.833,0.5,608.5
26.917,1.0,609.5
27.0,1.5,611.0
27.083,0.5,611.5
27.167,0.5,612.0
27.25,1.0,613.0
27.333,0.0,613.0
27.417,0.5,613.5
27.5,1.0,614.5
27.583,0.5,615.0
27.667,1.5,616.5
27.75,0.5,617.0
27.833,1.0,618.0
27.917,1.0,619.0
28.0,0.5,619.5
28.083,0.0,619.5
28.167,0.0,619.5
28.25,0.5,620.0
28.333,1.0,621.0
28.417,0.5,621.5
28.5,2.0,623.5
28.583,1.5,625.0
28.667,0.0,625.0
28.75,1.0,626.0
28.833,1.0,627.0
28.917,1.0,628.0
29.0,0.5,628.5
29.083,1.0,629.5
29.167,1.0,630.5
29.25,3.0,633.5
29.333,1.0,634.5
29.417,2.0,636.5
29.5,1.0,637.5
29.583,1.0,638.5
29.667,1.5,640.0
29.75,2.5,642.5
29.833,1.5,644.0
29.917,2.0,646.0
30.0,1.5,647.5
30.083,1.0,648.5
30.167,1.5,650.0
30.25,2.0,652.0
30.333,1.5,653.5
30.417,1.0,654.5
30.5,1.0,655.5
30.583,1.5,657.0
30.667,2.0,659.0
30.75,2.0,661.0
30.833,0.5,661.5
30.917,1.0,662.5
31.0,2.0,664.5
31.083,2.0,666.5
31.167,1.5,668.0
31.25,1.5,669.5
31.333,1.0,670.5
31.417,1.5,672.0
31.5,1.5,673.5
31.583,2.0,675.5
31.667,0.5,676.0
31.75,2.0,678.0
31.833,1.0,679.0
31.917,1.0,680.0
32.0,1.5,681.5
32.083,1.0,682.5
32.167,1.0,683.5
32.25,1.0,684.5
32.333,1.5,686.0
32.417,2.0,688.0
32.5,1.0,689.0
32.583,0.5,689.5
32.667,2.0,691.5
32.75,1.5,693.0
32.833,0.5,693.5
32.917,1.0,694.5
33.0,2.0,696.5
33.083,0.5,697.0
33.167,2.0,699.0
33.25,1.5,700.5
33.333,1.0,701.5
33.417,2.0,703.5
33.5,0.5,704.0
33.583,1.0,705.0
33.667,1.5,706.5
33.75,2.5,709.0
33.833,1.5,710.5
33.917,0.5,711.0
34.0,0.5,711.5
34.083,0.5,712.0
34.167,1.5,713.5
34.25,1.5,715.0
34.333,1.0,716.0
34.417,1.5,717.5
34.5,0.0,717.5
34.583,1.0,718.5
34.667,1.5,720.0
34.75,0.5,720.5
34.833,0.0,720.5
34.917,0.0,720.5
35.0,0.5,721.0
35.083,1.0,722.0
35.167,1.0,723.0
35.25,1.0,724.0
35.333,1.0,725.0
35.417,1.0,726.0
35.5,1.0,727.0
35.583,1.0,728.0
35.667,1.0,729.0
35.75,1.0,730.0
35.833,1.0,731.0
35.917,0.0,731.0
36.0,0.5,731.5
36.083,0.0,731.5
36.167,0.5,732.0
36.25,2.0,734.0
36.333,1.0,735.0
36.417,1.0,736.0
36.5,0.0,736.0
36.583,1.5,737.5
36.667,2.0,739.5
36.75,0.5,740.0
36.833,1.0,741.0
36.917,1.0,742.0
37.0,1.5,743.5
37.083,1.0,744.5
37.167,1.0,745.5
37.25,1.0,746.5
37.333,0.5,747.0
37.417,2.5,749.5
37.5,1.5,751.0
37.583,1.0,752.0
37.667,1.5,753.5
37.75,1.0,754.5
37.833,2.0,756.5
37.917,2.5,759.0
38.0,2.0,761.0
38.083,0.5,761.5
38.167,0.5,762.0
38.25,1.0,763.0
38.333,2.5,765.5
38.417,2.0,767.5
38.5,0.5,768.0
38.583,1.0,769.0
38.667,2.5,771.5
38.75,1.0,772.5
38.833,2.0,774.5
38.917,0.5,775.0
39.0,3.0,778.0
39.083,0.0,778.0
39.167,1.5,779.5
39.25,1.5,781.0
39.333,2.5,783.5
39.417,2.0,785.5
39.5,1.0,786.5
39.583,1.0,787.5
39.667,2.0,789.5
39.75,0.5,790.0
39.833,2.5,792.5
39.917,2.5,795.0
40.0,1.5,796.5
40.083,1.5,798.0
40.167,0.5,798.5
40.25,1.0,799.5
40.333,3.0,802.5
40.417,1.0,803.5
40.5,1.0,804.5
40.583,1.5,806.0
40.667,2.0,808.0
40.75,1.5,809.5
40.833,1.0,810.5
40.917,1.5,812.0
41.0,1.5,813.5
41.083,1.5,815.0
41.167,1.5,816.5
41.25,1.5,818.0
41.333,1.5,819.5
41.417,2.0,821.5
41.5,0.5,822.0
41.583,1.5,823.5
41.667,2.5,826.0
41.75,1.0,827.0
41.833,1.0,828.0
41.917,2.5,830.5
42.0,1.5,832.0
42.083,1.5,833.5
42.167,0.5,834.0
42.25,2.5,836.5
42.333,1.5,838.0
42.417,1.5,839.5
42.5,0.5,840.0
42.583,2.0,842.0
42.667,1.5,843.5
42.75,2.0,845.5
42.833,1.0,846.5
42.917,1.0,847.5
43.0,2.0,849.5
43.083,0.5,850.0
43.167,2.0,852.0
43.25,1.5,853.5
43.333,1.5,855.0
43.417,1.0,856.0
43.5,1.5,857.5
43.583,2.5,860.0
43.667,2.0,862.0
43.75,1.0,863.0
43.833,1.5,864.5
43.917,1.5,866.0
44.0,1.5,867.5
44.083,1.0,868.5
44.167,0.5,869.0
44.25,2.5,871.5
44.333,0.5,872.0
44.417,3.0,875.0
44.5,2.0,877.0
44.583,1.0,878.0
44.667,0.5,878.5
44.75,1.5,880.0
44.833,0.0,880.0
44.917,2.5,882.5
45.0,0.5,883.0
45.083,2.5,885.5
45.167,2.0,887.5
45.25,1.5,889.0
45.333,1.5,890.5
45.417,1.0,891.5
45.5,1.0,892.5
45.583,1.0,893.5
45.667,1.0,894.5
45.75,1.5,896.0
45.833,2.0,898.0
45.917,1.5,899.5
46.0,1.0,900.5
46.083,1.0,901.5
46.167,1.5,903.0
46.25,1.5,904.5
46.333,0.5,905.0
46.417,2.0,907.0
46.5,1.5,908.5
46.583,0.5,909.0
46.667,1.5,910.5
46.75,0.5,911.0
46.833,1.0,912.0
46.917,1.0,913.0
47.0,0.5,913.5
47.083,1.5,915.0
47.167,1.0,916.0
47.25,0.5,916.5
47.333,1.5,918.0
47.417,1.0,919.0
47.5,1.0,920.0
47.583,1.5,921.5
47.667,1.5,923.0
47.75,1.0,924.0
47.833,1.0,925.0
47.917,0.0,925.0
48.0,1.0,926.0
48.083,0.0,926.0
48.167,0.0,926.0
48.25,0.0,926.0
48.333,0.0,926.0
48.417,0.0,926.0
48.5,0.0,926.0
48.583,0.0,926.0
48.667,0.0,926.0
48.75,0.0,926.0
48.833,0.0,926.0
48.917,0.0,926.0
49.0,0.0,926.0
49.083,0.0,926.0
49.167,0.0,926.0
49.25,0.0,926.0
49.333,0.0,926.0
49.417,0.0,926.0
49.5,0.0,926.0
49.583,0.0,926.0
49.667,0.0,926.0
49.75,0.0,926.0
49.833,0.0,926.0
49.917,0.5,926.5
50.0,0.5,927.0
50.083,0.0,927.0
50.167,0.5,927.5
50.25,1.0,928.5
50.333,0.5,929.0
50.417,0.0,929.0
50.5,0.5,929.5
50.583,1.5,931.0
50.667,0.5,931.5
50.75,0.5,932.0
50.833,1.5,933.5
50.917,0.0,933.5
51.0,1.0,934.5
51.083,1.0,935.5
51.167,1.0,936.5
51.25,0.0,936.5
51.333,0.5,937.0
51.417,1.5,938.5
51.5,1.0,939.5
51.583,1.0,940.5
51.667,1.0,941.5
51.75,0.5,942.0
51.833,1.0,943.0
51.917,1.5,944.5
52.0,0.0,944.5
52.083,1.0,945.5
52.167,1.0,946.5
52.25,1.0,947.5
52.333,1.5,949.0
52.417,1.0,950.0
52.5,0.5,950.5
52.583,1.5,952.0
52.667,0.0,952.0
52.75,1.0,953.0
52.833,1.0,954.0
52.917,1.5,955.5
53.0,1.5,957.0
53.083,0.5,957.5
53.167,2.0,959.5
53.25,0.5,960.0
53.333,1.0,961.0
53.417,0.5,961.5
53.5,1.5,963.0
53.583,1.0,964.0
53.667,1.0,965.0
53.75,0.0,965.0
53.833,0.0,965.0
53.917,0.0,965.0
54.0,0.0,965.0
