time,A,B,P12,P23
11.617,807.3,784.675,877.025,803.225
11.633,808.8,786.025,878.525,804.725
11.65,810.3,787.275,880.025,805.925
11.667,811.8,788.775,881.525,805.925
11.683,813.3,790.275,883.025,805.925
11.7,814.8,791.775,884.525,805.925
11.717,816.3,793.275,885.525,805.925
11.733,817.8,794.775,886.525,805.925
11.75,819.3,795.975,888.025,805.925
11.767,820.8,795.975,889.525,805.925
11.783,822.3,795.975,891.025,805.925
11.8,823.8,795.975,892.525,806.8
11.817,825.3,795.975,894.025,808.3
11.833,826.8,795.975,895.525,809.8
11.85,828.3,795.975,897.025,811.3
11.867,829.8,795.975,898.525,812.8
11.883,831.3,795.975,900.025,814.3
11.9,832.8,795.975,901.525,815.8
11.917,834.3,796.425,903.025,817.3
11.933,835.775,797.925,904.525,818.8
11.95,835.775,799.425,906.025,820.3
11.967,835.775,800.925,907.525,821.8
11.983,835.775,802.425,909.025,823.3
12.0,835.775,803.925,910.525,824.8
12.017,835.775,805.425,912.025,826.3
12.033,835.775,806.925,913.525,827.8
12.05,835.775,808.425,915.025,829.3
12.067,835.775,809.925,916.525,830.8
12.083,835.775,811.425,918.025,832.3
12.1,835.775,812.925,919.525,833.8
12.117,835.775,814.425,921.025,835.3
12.133,836.425,815.925,922.525,836.8
12.15,837.925,817.425,924.025,838.3
12.167,839.425,818.925,925.325,839.8
12.183,840.925,820.425,925.325,841.3
12.2,842.425,821.925,925.325,842.8
12.217,843.925,823.425,925.325,844.3
12.233,845.425,824.925,925.325,845.8
12.25,846.925,826.425,926.375,847.3
12.267,848.425,827.925,927.875,848.8
12.283,849.925,829.425,929.375,850.3
12.3,851.425,830.925,930.875,851.8
12.317,852.925,832.425,932.375,853.3
12.333,854.425,833.925,933.875,854.8
12.35,855.675,835.425,935.375,855.675
12.367,856.575,836.925,936.875,855.675
12.383,858.075,838.425,938.375,855.675
12.4,859.575,839.925,939.875,855.675
12.417,861.075,841.425,941.375,855.675
12.433,862.575,842.925,942.875,855.675
12.45,864.075,844.425,944.375,855.775
12.467,865.575,845.725,945.875,857.275
12.483,865.625,845.725,947.375,858.775
12.5,865.625,845.725,948.875,860.275
12.517,865.625,845.725,950.375,861.775
12.533,865.625,845.725,951.875,863.275
12.55,865.625,845.8,953.375,864.775
12.567,866.475,847.3,954.875,866.275
12.583,867.975,848.8,955.175,867.775
12.6,869.475,850.3,955.175,869.275
12.617,870.975,851.8,955.175,870.775
12.633,872.475,853.3,955.175,872.275
12.65,873.975,854.8,955.525,873.775
12.667,875.475,856.0,957.025,875.275
12.683,876.975,857.5,958.525,875.575
12.7,878.475,859.0,960.025,875.575
12.717,879.975,860.5,961.525,875.575
12.733,881.475,862.0,963.025,875.575
12.75,882.975,863.5,964.525,875.575
12.767,884.475,865.0,966.025,875.575
12.783,885.525,865.625,967.525,875.575
12.8,885.525,865.625,969.025,875.575
12.817,885.525,865.625,970.525,875.575
12.833,885.525,865.625,972.025,875.575
12.85,885.95,865.625,973.525,876.15
12.867,887.45,865.625,975.025,877.65
12.883,888.95,865.625,975.5,879.15
12.9,890.45,865.625,977.0,880.65
12.917,891.95,865.625,978.5,882.15
12.933,893.45,865.625,980.0,883.65
12.95,894.95,865.625,981.5,885.15
12.967,895.475,866.3,983.0,886.65
12.983,895.475,867.8,984.5,888.15
13.0,896.975,869.3,985.025,889.65
13.017,898.475,870.8,985.025,891.15
13.033,899.975,872.3,985.025,892.65
13.05,901.475,873.8,985.025,894.15
13.067,902.975,875.3,985.025,895.65
13.083,904.475,876.8,985.025,897.15
13.1,905.975,878.3,985.025,898.65
13.117,907.475,879.8,985.025,900.15
13.133,908.975,881.3,985.025,901.65
13.15,910.475,882.8,985.85,903.15
13.167,911.975,884.3,987.35,904.65
13.183,913.475,885.55,988.85,905.425
13.2,914.975,887.05,990.35,905.425
13.217,915.375,888.55,991.85,905.425
13.233,915.375,890.05,993.35,905.425
13.25,915.375,891.55,994.85,905.425
13.267,915.375,893.05,996.35,905.425
13.283,915.375,894.55,997.85,905.425
13.3,915.375,895.475,999.35,905.425
13.317,915.775,895.475,1000.85,906.475
13.333,917.275,895.475,1002.35,907.975
13.35,918.775,895.475,1003.85,909.475
13.367,920.275,895.475,1004.925,910.975
13.383,921.775,895.475,1004.925,912.475
13.4,923.275,895.475,1004.925,913.975
13.417,924.775,896.65,1005.475,915.475
13.433,926.275,898.15,1006.975,916.975
13.45,927.775,899.65,1008.475,918.475
13.467,929.275,901.15,1009.975,919.975
13.483,930.775,902.65,1011.475,921.475
13.5,932.275,904.15,1012.975,922.975
13.517,933.775,905.425,1014.475,924.475
13.533,935.275,905.95,1014.875,925.325
13.55,936.775,907.45,1014.875,925.325
13.567,938.275,908.95,1014.875,925.325
13.583,939.775,910.45,1014.875,925.325
13.6,941.275,911.95,1015.725,925.325
13.617,942.775,913.45,1017.225,925.325
13.633,944.275,914.95,1018.725,926.625
13.65,945.225,915.375,1020.225,928.125
13.667,945.4,915.375,1021.725,929.625
13.683,946.9,915.375,1023.225,931.125
13.7,948.4,915.375,1024.725,932.625
13.717,949.9,915.375,1024.825,934.125
13.733,951.4,916.075,1024.825,935.625
13.75,952.9,917.575,1024.825,937.125
13.767,954.4,919.075,1024.825,938.625
13.783,955.175,920.575,1024.825,940.125
13.8,955.175,922.075,1024.825,941.625
13.817,956.65,923.575,1024.825,943.125
13.833,958.15,925.075,1024.825,944.625
13.85,959.65,926.1,1024.825,945.225
13.867,961.15,927.6,1024.825,945.225
13.883,962.65,929.1,1025.675,946.675
13.9,964.15,930.6,1027.175,948.175
13.917,965.125,932.1,1028.675,949.675
13.933,965.125,933.6,1030.175,951.175
13.95,965.125,935.1,1031.675,952.675
13.967,965.125,935.275,1033.175,954.175
13.983,965.125,935.55,1034.675,955.675
14.0,965.125,937.05,1034.775,957.175
14.017,965.125,938.55,1034.775,958.675
14.033,965.125,940.05,1034.775,960.175
14.05,965.125,941.55,1034.775,961.675
14.067,965.125,943.05,1034.775,963.175
14.083,965.125,944.55,1035.625,964.675
14.1,965.65,945.75,1037.125,965.125
14.117,967.15,947.25,1038.625,965.125
14.133,968.65,948.75,1040.125,966.35
14.15,970.15,950.25,1041.625,967.85
14.167,971.65,951.75,1043.125,969.35
14.183,973.15,953.25,1044.625,970.85
14.2,974.65,954.75,1044.725,972.35
14.217,976.15,955.175,1044.725,973.85
14.233,977.65,956.025,1044.725,975.075
14.25,979.15,957.525,1044.725,975.075
14.267,980.65,959.025,1044.725,975.075
14.283,982.15,960.525,1044.725,975.675
14.3,983.65,962.025,1044.725,977.175
14.317,985.025,963.525,1044.725,978.675
14.333,985.025,965.025,1045.425,980.175
14.35,985.025,965.125,1046.925,981.675
14.367,985.025,965.125,1048.425,983.175
14.383,985.025,965.125,1049.925,984.675
14.4,985.025,966.1,1051.425,985.025
14.417,985.025,967.6,1052.925,985.025
14.433,985.025,969.1,1054.425,985.025
14.45,985.025,970.6,1055.925,985.025
14.467,985.025,972.1,1057.425,985.025
14.483,985.025,973.6,1058.925,985.025
14.5,985.875,975.075,1060.425,985.025
14.517,987.375,975.075,1061.925,985.025
14.533,988.875,975.075,1063.425,985.025
14.55,990.375,975.075,1064.625,986.075
14.567,991.875,975.075,1064.625,987.575
14.583,993.375,975.075,1064.625,989.075
14.6,994.875,975.075,1064.625,990.575
14.617,996.375,975.075,1064.625,992.075
14.633,997.875,975.075,1064.625,993.575
14.65,999.375,975.275,1064.625,994.975
14.667,1000.875,976.775,1064.625,994.975
14.683,1002.375,978.275,1064.625,994.975
14.7,1003.875,979.775,1064.625,994.975
14.717,1005.375,981.275,1064.625,994.975
14.733,1006.875,982.775,1064.625,994.975
14.75,1008.375,984.275,1064.625,994.975
14.767,1009.875,985.025,1065.3,994.975
14.783,1011.375,985.025,1066.8,994.975
14.8,1012.875,985.025,1068.3,994.975
14.817,1014.375,985.025,1069.8,994.975
14.833,1014.875,985.025,1071.3,995.375
14.85,1014.875,985.025,1072.8,996.875
14.867,1014.875,985.025,1074.3,998.375
14.883,1014.875,985.025,1075.05,999.875
14.9,1014.875,985.025,1076.55,1001.375
14.917,1014.875,985.025,1078.05,1002.875
14.933,1014.875,985.05,1079.55,1004.375
14.95,1014.875,986.55,1081.05,1005.875
14.967,1014.875,988.05,1082.55,1007.375
14.983,1016.125,989.55,1084.05,1008.875
15.0,1017.625,991.05,1084.525,1010.375
15.017,1019.125,992.55,1084.525,1011.875
15.033,1020.625,994.05,1084.525,1013.375
15.05,1022.125,995.4,1084.525,1014.875
15.067,1023.625,996.9,1084.525,1016.375
15.083,1024.825,998.4,1084.525,1017.875
15.1,1026.175,999.9,1084.525,1019.375
15.117,1027.675,1001.4,1084.525,1020.875
15.133,1029.175,1002.9,1084.525,1022.375
15.15,1030.675,1004.4,1084.525,1023.875
15.167,1032.175,1004.925,1085.625,1024.825
15.183,1033.675,1006.4,1087.125,1024.825
15.2,1034.775,1007.9,1088.625,1024.825
15.217,1034.775,1009.4,1090.125,1024.825
15.233,1034.775,1010.9,1091.625,1024.825
15.25,1034.775,1012.4,1093.125,1024.825
15.267,1034.775,1013.9,1094.475,1024.825
15.283,1034.775,1014.875,1094.475,1024.825
15.3,1034.775,1014.875,1094.875,1025.925
15.317,1034.775,1014.875,1096.375,1027.425
15.333,1034.775,1014.875,1097.875,1028.925
15.35,1034.775,1014.875,1099.375,1030.425
15.367,1035.175,1014.875,1100.875,1031.925
15.383,1036.675,1014.875,1102.375,1033.425
15.4,1038.175,1015.875,1103.875,1034.925
15.417,1039.675,1017.375,1104.425,1036.425
15.433,1041.175,1018.875,1104.425,1037.925
15.45,1042.675,1020.375,1104.425,1039.425
15.467,1044.175,1021.875,1104.425,1040.925
15.483,1044.725,1023.375,1104.425,1042.425
15.5,1044.975,1024.825,1104.425,1043.925
15.517,1046.475,1025.225,1104.425,1045.1
15.533,1047.975,1026.725,1104.425,1046.6
15.55,1049.475,1028.225,1104.425,1048.1
15.567,1050.975,1029.725,1104.425,1049.6
15.583,1052.475,1031.225,1104.425,1051.1
15.6,1053.975,1032.725,1104.425,1052.6
15.617,1054.675,1034.225,1104.425,1054.1
15.633,1054.675,1035.475,1104.425,1054.675
15.65,1054.675,1036.975,1105.025,1054.675
15.667,1054.675,1038.475,1106.525,1054.675
15.683,1054.675,1039.975,1108.025,1054.675
15.7,1054.675,1041.475,1109.525,1055.1
15.717,1054.675,1042.975,1111.025,1056.6
15.733,1054.675,1044.475,1112.525,1058.1
15.75,1054.675,1044.725,1114.025,1059.6
15.767,1054.675,1044.725,1114.375,1061.1
15.783,1054.675,1044.725,1114.375,1062.6
15.8,1054.675,1044.725,1114.95,1064.1
15.817,1054.675,1045.925,1116.45,1064.625
15.833,1054.675,1047.425,1117.95,1064.625
15.85,1054.675,1048.925,1119.45,1064.625
15.867,1055.525,1050.425,1120.95,1065.625
15.883,1057.025,1051.925,1122.45,1067.125
15.9,1058.525,1053.425,1123.95,1068.625
15.917,1060.025,1054.675,1124.325,1070.125
15.933,1061.525,1054.675,1124.325,1071.625
15.95,1063.025,1054.675,1124.325,1073.125
15.967,1064.525,1054.675,1124.325,1074.575
15.983,1066.025,1056.1,1124.325,1074.575
16.0,1067.525,1057.6,1124.325,1074.575
16.017,1069.025,1059.1,1124.325,1074.575
16.033,1070.525,1060.6,1124.325,1074.575
16.05,1072.025,1062.1,1124.325,1074.575
16.067,1073.525,1063.6,1124.325,1074.575
16.083,1075.025,1064.625,1124.325,1074.575
16.1,1076.525,1064.625,1124.325,1074.575
16.117,1078.025,1064.625,1124.325,1074.575
16.133,1079.525,1064.625,1124.325,1074.575
16.15,1081.025,1064.625,1124.325,1074.575
16.167,1082.525,1064.625,1124.325,1074.575
16.183,1084.025,1064.625,1125.8,1075.425
16.2,1084.525,1064.625,1127.3,1076.925
16.217,1084.525,1064.625,1128.8,1078.425
16.233,1084.525,1064.625,1130.3,1079.925
16.25,1084.525,1064.625,1131.8,1081.425
16.267,1084.525,1064.625,1133.3,1082.925
16.283,1084.525,1064.975,1134.55,1084.425
16.3,1085.1,1066.475,1136.05,1085.925
16.317,1086.6,1067.975,1137.55,1087.425
16.333,1088.1,1069.475,1139.05,1088.925
16.35,1089.6,1070.975,1140.55,1090.425
16.367,1091.1,1072.475,1142.05,1091.925
16.383,1092.6,1073.975,1143.55,1093.425
16.4,1094.1,1074.575,1144.225,1094.475
16.417,1095.6,1075.775,1144.225,1094.475
16.433,1097.1,1077.275,1144.225,1094.475
16.45,1098.6,1078.775,1144.225,1094.475
16.467,1100.1,1080.275,1144.225,1094.475
16.483,1101.6,1081.775,1144.225,1094.475
16.5,1103.1,1083.275,1144.225,1094.475
16.517,1104.6,1084.525,1144.225,1094.475
16.533,1106.1,1084.525,1144.225,1094.475
16.55,1107.6,1084.525,1144.225,1094.475
16.567,1109.1,1084.525,1144.225,1094.475
16.583,1110.6,1084.525,1144.225,1094.475
16.6,1112.1,1084.525,1144.225,1094.475
16.617,1113.6,1084.525,1144.225,1095.05
16.633,1114.375,1084.525,1144.225,1096.55
16.65,1114.375,1084.525,1145.65,1098.05
16.667,1114.375,1084.525,1147.15,1099.55
16.683,1114.375,1084.525,1148.65,1101.05
16.7,1114.375,1084.525,1150.15,1102.55
16.717,1114.375,1084.525,1151.65,1104.05
16.733,1114.375,1085.225,1153.15,1105.55
16.75,1114.375,1086.725,1154.175,1107.05
16.767,1114.375,1088.225,1154.175,1108.55
16.783,1114.375,1089.725,1154.825,1110.05
16.8,1114.375,1091.225,1156.325,1111.55
16.817,1114.375,1092.725,1157.825,1113.05
16.833,1114.375,1094.225,1159.325,1114.375
16.85,1115.375,1095.725,1160.825,1114.375
16.867,1116.875,1097.225,1162.325,1114.375
16.883,1118.375,1098.725,1163.825,1114.375
16.9,1119.875,1100.225,1165.325,1114.375
16.917,1121.375,1101.725,1166.825,1114.375
16.933,1122.875,1103.225,1168.325,1114.375
16.95,1124.325,1104.425,1169.825,1114.375
16.967,1124.325,1104.425,1171.325,1114.375
16.983,1124.6,1104.425,1172.825,1114.375
17.0,1126.1,1104.425,1174.325,1114.375
17.017,1127.6,1104.425,1175.825,1115.225
17.033,1129.1,1104.425,1177.325,1116.725
17.05,1130.6,1104.425,1178.825,1118.225
17.067,1132.1,1104.425,1180.325,1119.725
17.083,1133.6,1104.425,1181.825,1121.225
17.1,1135.1,1104.425,1183.325,1122.725
17.117,1136.6,1104.425,1184.025,1124.225
17.133,1138.1,1105.525,1184.025,1124.325
17.15,1139.6,1107.025,1184.025,1124.325
17.167,1141.1,1108.525,1184.025,1124.8
17.183,1142.6,1110.025,1184.025,1126.3
17.2,1144.1,1111.525,1184.8,1127.8
17.217,1144.225,1113.025,1186.3,1129.3
17.233,1144.225,1114.375,1187.8,1130.8
17.25,1144.225,1114.375,1189.3,1132.3
17.267,1144.225,1114.375,1190.8,1133.8
17.283,1144.225,1114.85,1192.3,1134.275
17.3,1144.225,1116.35,1193.8,1134.275
17.317,1144.225,1117.85,1193.975,1134.275
17.333,1144.225,1119.35,1193.975,1135.3
17.35,1144.225,1120.85,1193.975,1136.8
17.367,1144.225,1122.35,1193.975,1138.3
17.383,1144.75,1123.85,1193.975,1139.8
17.4,1146.25,1124.325,1193.975,1141.3
17.417,1147.75,1124.325,1193.975,1142.8
17.433,1149.25,1125.0,1193.975,1144.3
17.45,1150.75,1126.5,1193.975,1145.8
17.467,1152.25,1128.0,1193.975,1147.3
17.483,1153.75,1129.5,1193.975,1148.8
17.5,1154.175,1131.0,1194.925,1150.3
17.517,1154.175,1132.5,1196.425,1151.8
17.533,1154.175,1134.0,1197.925,1153.3
17.55,1154.175,1134.275,1199.425,1154.175
17.567,1154.175,1135.575,1200.925,1154.175
17.583,1154.175,1137.075,1202.425,1154.175
17.6,1154.875,1138.575,1203.925,1154.175
17.617,1156.375,1140.075,1203.925,1154.175
17.633,1157.875,1141.575,1203.925,1154.175
17.65,1159.375,1143.075,1203.925,1154.175
17.667,1160.875,1144.225,1203.925,1154.175
17.683,1162.375,1144.225,1203.925,1154.175
17.7,1163.875,1144.225,1204.925,1154.175
17.717,1165.375,1144.225,1206.425,1154.475
17.733,1166.875,1144.225,1207.925,1155.975
17.75,1168.375,1144.225,1209.425,1157.475
17.767,1169.875,1144.225,1210.925,1158.975
17.783,1171.375,1144.225,1212.425,1160.475
17.8,1172.875,1144.225,1213.875,1161.975
17.817,1174.075,1144.225,1213.875,1163.475
17.833,1174.075,1144.3,1214.25,1164.125
17.85,1174.075,1145.8,1215.75,1164.125
17.867,1174.075,1147.3,1217.25,1164.125
17.883,1174.075,1148.8,1218.75,1164.125
17.9,1174.075,1150.3,1220.25,1164.125
17.917,1175.525,1151.8,1221.75,1164.975
17.933,1177.025,1153.3,1223.25,1166.475
17.95,1178.525,1154.175,1223.825,1167.975
17.967,1180.025,1154.175,1223.825,1169.475
17.983,1181.525,1154.175,1223.825,1170.975
18.0,1183.025,1154.175,1223.975,1172.475
18.017,1184.025,1154.175,1225.475,1173.975
18.033,1184.025,1154.175,1226.975,1174.075
18.05,1185.375,1155.175,1228.475,1174.075
18.067,1186.875,1156.675,1229.975,1174.075
18.083,1188.375,1158.175,1231.475,1174.075
18.1,1189.875,1159.675,1232.975,1174.075
18.117,1191.375,1161.175,1233.775,1174.075
18.133,1192.875,1162.675,1233.775,1174.075
18.15,1193.975,1164.125,1233.775,1174.075
18.167,1194.475,1164.125,1233.775,1174.075
18.183,1195.975,1164.125,1233.775,1174.075
18.2,1197.475,1164.125,1233.775,1174.075
18.217,1198.975,1164.125,1233.95,1175.275
18.233,1200.475,1164.125,1235.45,1176.775
18.25,1201.975,1164.125,1236.95,1178.275
18.267,1203.475,1164.125,1238.45,1179.775
18.283,1203.925,1164.125,1239.95,1181.275
18.3,1203.925,1164.125,1241.45,1182.775
18.317,1203.925,1164.225,1242.95,1184.025
18.333,1203.925,1165.725,1243.725,1184.025
18.35,1203.925,1167.225,1243.725,1184.025
18.367,1203.925,1168.725,1243.725,1185.025
18.383,1203.925,1170.225,1243.725,1186.525
18.4,1203.925,1171.725,1244.125,1188.025
18.417,1203.925,1173.225,1245.625,1189.525
18.433,1204.85,1174.075,1247.125,1191.025
18.45,1206.35,1174.075,1248.625,1192.525
18.467,1207.85,1174.075,1250.125,1193.975
18.483,1209.35,1174.6,1251.625,1193.975
18.5,1210.85,1176.1,1253.125,1193.975
18.517,1212.35,1177.6,1253.675,1193.975
18.533,1213.85,1179.1,1253.675,1193.975
18.55,1215.35,1180.6,1253.675,1193.975
18.567,1216.85,1182.1,1253.675,1193.975
18.583,1218.35,1183.6,1253.675,1193.975
18.6,1219.85,1184.025,1253.675,1193.975
18.617,1221.35,1184.025,1253.675,1195.075
18.633,1222.85,1184.025,1253.675,1196.575
18.65,1223.825,1184.025,1253.675,1198.075
18.667,1223.825,1184.025,1253.8,1199.575
18.683,1223.825,1184.025,1255.3,1201.075
18.7,1223.825,1184.025,1256.8,1202.575
18.717,1223.825,1184.65,1258.3,1203.925
18.733,1223.825,1186.15,1259.8,1203.925
18.75,1223.825,1187.65,1261.3,1203.925
18.767,1223.825,1189.15,1262.8,1203.925
18.783,1223.825,1190.65,1264.3,1203.925
18.8,1224.15,1192.15,1265.8,1203.925
18.817,1225.65,1193.65,1267.3,1204.025
18.833,1227.15,1193.975,1268.8,1205.525
18.85,1228.65,1193.975,1270.3,1207.025
18.867,1230.15,1193.975,1271.8,1208.525
18.883,1231.65,1193.975,1273.3,1210.025
18.9,1233.15,1193.975,1273.575,1211.525
18.917,1234.65,1193.975,1273.575,1213.025
18.933,1236.15,1193.975,1273.575,1213.875
18.95,1237.65,1195.25,1273.575,1213.875
18.967,1239.15,1196.75,1273.575,1213.875
18.983,1240.65,1198.25,1273.575,1213.875
19.0,1242.15,1199.75,1273.575,1213.875
19.017,1243.65,1201.25,1273.575,1213.875
19.033,1245.15,1202.75,1273.575,1213.875
19.05,1246.65,1203.925,1273.575,1213.875
19.067,1248.15,1203.925,1273.95,1213.875
19.083,1249.65,1203.925,1275.45,1213.875
19.1,1251.15,1203.925,1276.95,1213.875
19.117,1252.65,1203.925,1278.45,1213.875
19.133,1253.675,1203.925,1279.95,1213.875
19.15,1253.675,1203.925,1281.45,1213.875
19.167,1253.675,1203.925,1282.95,1213.875
19.183,1253.675,1203.925,1284.45,1213.875
19.2,1253.675,1203.925,1285.95,1214.725
19.217,1253.675,1203.925,1287.45,1216.225
19.233,1253.675,1203.925,1288.95,1217.725
19.25,1253.675,1203.925,1290.45,1219.225
19.267,1253.675,1203.925,1291.95,1220.725
19.283,1254.775,1203.925,1293.45,1222.225
19.3,1256.275,1203.925,1294.95,1223.725
19.317,1257.775,1204.475,1296.45,1225.225
19.333,1259.275,1205.975,1297.95,1226.725
19.35,1260.775,1207.475,1299.45,1228.225
19.367,1262.275,1208.975,1300.95,1229.725
19.383,1263.625,1210.475,1302.45,1231.225
19.4,1263.625,1211.975,1303.9,1232.725
19.417,1263.625,1213.475,1305.4,1233.775
19.433,1263.625,1214.975,1306.9,1233.775
19.45,1263.625,1216.475,1308.4,1233.775
19.467,1263.625,1217.975,1309.9,1233.775
19.483,1265.075,1219.475,1311.4,1233.775
19.5,1266.575,1220.975,1312.9,1233.775
19.517,1268.075,1222.475,1313.375,1233.775
19.533,1269.575,1223.825,1313.375,1233.775
19.55,1271.075,1223.825,1313.375,1233.775
19.567,1272.575,1223.825,1313.525,1233.775
19.583,1273.575,1223.825,1315.025,1233.775
19.6,1274.8,1223.825,1316.525,1233.775
19.617,1276.3,1223.825,1318.025,1235.275
19.633,1277.8,1223.825,1319.525,1236.775
19.65,1279.3,1223.825,1321.025,1238.275
19.667,1280.8,1223.825,1322.525,1239.775
19.683,1282.3,1223.825,1323.325,1241.275
19.7,1283.525,1223.825,1323.325,1242.775
19.717,1283.525,1223.825,1323.325,1243.725
19.733,1283.525,1224.275,1324.025,1243.725
19.75,1283.525,1225.775,1325.525,1243.725
19.767,1283.525,1227.275,1327.025,1243.725
19.783,1283.525,1228.775,1328.525,1245.15
19.8,1283.525,1230.275,1330.025,1246.65
19.817,1283.525,1231.775,1331.525,1248.15
19.833,1283.525,1233.275,1333.025,1249.65
19.85,1283.525,1233.775,1334.525,1251.15
19.867,1283.525,1233.775,1336.025,1252.65
19.883,1283.525,1234.05,1337.525,1253.675
19.9,1283.525,1235.55,1339.025,1253.675
19.917,1283.525,1237.05,1340.525,1253.675
19.933,1284.975,1238.55,1342.025,1253.675
19.95,1286.475,1240.05,1343.225,1254.9
19.967,1287.975,1241.55,1343.225,1256.4
19.983,1289.475,1243.05,1343.225,1257.9
20.0,1290.975,1243.725,1343.225,1259.4
20.017,1292.475,1243.725,1343.225,1260.9
20.033,1293.975,1243.725,1343.225,1262.4
20.05,1295.475,1243.725,1343.225,1263.625
20.067,1296.975,1244.8,1343.225,1263.625
20.083,1298.475,1246.3,1343.225,1263.625
20.1,1299.975,1247.8,1343.225,1263.625
20.117,1301.475,1249.3,1343.225,1263.625
20.133,1302.975,1250.8,1343.225,1263.625
20.15,1304.475,1252.3,1343.225,1263.625
20.167,1305.975,1253.675,1343.225,1263.625
20.183,1307.475,1253.675,1343.225,1263.625
20.2,1308.975,1253.675,1343.225,1263.625
20.217,1310.475,1253.675,1343.225,1263.625
20.233,1311.975,1253.675,1343.225,1263.625
20.25,1313.375,1253.675,1343.225,1263.625
20.267,1313.375,1253.675,1343.975,1265.0
20.283,1313.375,1253.675,1345.475,1266.5
20.3,1313.375,1253.675,1346.975,1268.0
20.317,1313.375,1253.675,1348.475,1269.5
20.333,1313.375,1253.675,1349.975,1271.0
20.35,1313.375,1253.675,1351.475,1272.5
20.367,1313.375,1253.675,1352.975,1273.575
20.383,1313.375,1254.925,1354.225,1273.575
20.4,1313.375,1256.425,1355.725,1274.35
20.417,1313.375,1257.925,1357.225,1275.85
20.433,1313.375,1259.425,1358.725,1277.35
20.45,1313.375,1260.925,1360.225,1278.85
20.467,1313.925,1262.425,1361.725,1280.35
20.483,1315.425,1263.625,1363.125,1281.85
20.5,1316.925,1263.625,1363.125,1283.35
20.517,1318.425,1263.925,1363.125,1283.525
20.533,1319.925,1265.425,1363.125,1283.525
20.55,1321.425,1266.925,1363.125,1283.525
20.567,1322.925,1268.425,1363.125,1283.525
20.583,1323.325,1269.925,1363.125,1283.525
20.6,1323.85,1271.425,1363.125,1283.525
20.617,1325.35,1272.925,1363.125,1283.525
20.633,1326.85,1273.575,1363.125,1283.525
20.65,1328.35,1273.575,1363.125,1283.525
20.667,1329.85,1273.575,1363.125,1283.525
20.683,1331.35,1273.575,1363.125,1283.525
20.7,1332.85,1273.575,1363.125,1284.1
20.717,1333.275,1273.575,1363.125,1285.6
20.733,1333.275,1273.575,1363.125,1287.1
20.75,1333.275,1273.575,1364.025,1288.6
20.767,1333.275,1273.575,1365.525,1290.1
20.783,1333.275,1273.575,1367.025,1291.6
20.8,1333.275,1273.575,1368.525,1293.1
20.817,1333.275,1273.9,1370.025,1293.475
20.833,1333.275,1275.4,1371.525,1293.725
20.85,1333.275,1276.9,1373.025,1295.225
20.867,1333.275,1278.4,1373.075,1296.725
20.883,1333.275,1279.9,1373.075,1298.225
20.9,1333.275,1281.4,1373.075,1299.725
20.917,1333.275,1282.9,1373.725,1301.225
20.933,1333.275,1283.525,1375.225,1302.725
20.95,1333.275,1283.525,1376.725,1303.425
20.967,1334.675,1284.8,1378.225,1303.425
20.983,1336.175,1286.3,1379.725,1303.425
21.0,1337.675,1287.8,1381.225,1303.425
21.017,1339.175,1289.3,1382.725,1303.425
21.033,1340.675,1290.8,1383.025,1303.425
21.05,1342.175,1292.3,1383.025,1303.425
21.067,1343.225,1293.475,1383.025,1303.425
21.083,1343.225,1293.475,1383.025,1303.425
21.1,1343.225,1293.475,1383.025,1303.425
21.117,1343.225,1293.475,1383.025,1303.425
21.133,1343.225,1293.475,1383.025,1304.525
21.15,1343.225,1293.475,1383.025,1306.025
21.167,1344.375,1293.475,1383.025,1307.525
21.183,1345.875,1293.475,1383.025,1309.025
21.2,1347.375,1293.475,1383.025,1310.525
21.217,1348.875,1293.475,1383.025,1312.025
21.233,1350.375,1293.475,1383.85,1313.375
21.25,1351.875,1294.45,1385.35,1313.375
21.267,1353.175,1295.95,1386.85,1313.375
21.283,1353.175,1297.45,1388.35,1313.375
21.3,1354.25,1298.95,1389.85,1313.375
21.317,1355.75,1300.45,1391.35,1313.375
21.333,1357.25,1301.95,1392.85,1313.375
21.35,1358.75,1303.425,1392.975,1313.375
21.367,1360.25,1303.425,1392.975,1313.375
21.383,1361.75,1303.425,1392.975,1313.375
21.4,1363.125,1303.425,1392.975,1313.375
21.417,1363.125,1303.425,1392.975,1313.375
21.433,1364.45,1303.425,1392.975,1313.375
21.45,1365.95,1303.425,1393.8,1313.375
21.467,1367.45,1303.425,1395.3,1313.375
21.483,1368.95,1303.425,1396.8,1313.375
21.5,1370.45,1303.425,1398.3,1313.375
21.517,1371.95,1303.425,1399.8,1313.375
21.533,1373.075,1303.425,1401.3,1313.375
21.55,1373.075,1303.425,1402.8,1313.375
21.567,1373.725,1303.425,1402.925,1313.375
21.583,1375.225,1303.425,1404.275,1313.375
21.6,1376.725,1303.425,1405.775,1313.375
21.617,1378.225,1303.425,1407.275,1313.375
21.633,1379.725,1303.425,1408.775,1313.375
21.65,1381.225,1303.425,1410.275,1313.375
21.667,1382.725,1303.425,1411.775,1314.325
21.683,1383.025,1303.425,1412.875,1315.825
21.7,1383.025,1303.425,1412.875,1317.325
21.717,1383.025,1303.425,1414.1,1318.825
21.733,1383.025,1303.425,1415.6,1320.325
21.75,1383.025,1303.425,1417.1,1321.825
21.767,1383.025,1303.425,1418.6,1323.325
21.783,1383.025,1303.6,1420.1,1324.025
