time,A,B,P12,P23
2.317,133.175,129.325,170.975,143.425
2.333,134.675,129.325,172.475,144.925
2.35,136.175,129.325,173.975,146.425
2.367,137.675,130.425,175.475,147.925
2.383,139.175,131.925,176.975,149.425
2.4,140.675,133.425,178.475,150.925
2.417,142.175,134.925,179.975,152.425
2.433,143.675,136.425,181.475,153.925
2.45,145.175,137.925,182.975,155.425
2.467,146.675,139.325,184.475,156.925
2.483,148.175,140.825,185.975,158.425
2.5,149.225,142.325,187.475,159.925
2.517,149.225,143.825,188.975,161.425
2.533,150.675,145.325,189.05,162.925
2.55,152.175,146.825,189.05,164.425
2.567,153.675,148.325,189.175,165.925
2.583,155.175,149.225,190.675,167.425
2.6,156.675,150.2,192.175,168.925
2.617,158.175,151.7,193.675,169.15
2.633,159.675,153.2,195.175,169.15
2.65,161.175,154.7,196.675,169.15
2.667,162.675,156.2,198.175,169.15
2.683,164.175,157.7,199.675,169.15
2.7,165.675,159.175,201.175,169.4
2.717,167.175,159.175,202.675,170.9
2.733,168.675,159.175,204.175,172.4
2.75,170.175,159.175,205.675,173.9
2.767,171.675,159.175,207.175,175.4
2.783,173.175,159.175,208.675,176.9
2.8,174.675,159.725,208.95,178.4
2.817,176.175,161.225,208.95,179.9
2.833,177.675,162.725,209.65,181.4
2.85,179.175,164.225,211.15,182.9
2.867,180.675,165.725,212.65,184.4
2.883,182.175,167.225,214.15,185.9
2.9,183.675,168.725,215.65,187.4
2.917,185.175,170.225,217.15,188.9
2.933,186.675,171.725,218.65,189.05
2.95,188.175,173.225,220.15,189.85
2.967,189.025,174.725,221.65,191.35
2.983,189.025,176.225,223.15,192.85
3.0,189.025,177.725,224.65,194.35
3.017,189.025,179.075,226.15,195.85
3.033,189.025,179.075,227.65,197.35
3.05,189.025,179.075,229.15,198.85
3.067,189.025,180.5,230.65,200.35
3.083,189.025,182.0,232.15,201.85
3.1,189.025,183.5,233.65,203.35
3.117,189.025,185.0,235.15,204.85
3.133,190.25,186.5,236.65,206.35
3.15,191.75,188.0,238.15,207.85
3.167,193.25,189.5,238.8,209.35
3.183,194.75,191.0,238.8,210.85
3.2,196.25,192.5,238.8,212.35
3.217,197.75,194.0,238.8,213.85
3.233,199.25,195.5,238.8,215.35
3.25,200.75,197.0,238.8,216.85
3.267,202.25,198.5,240.15,218.35
3.283,203.75,200.0,241.65,218.9
3.3,205.25,201.5,243.15,218.9
3.317,206.75,203.0,244.65,218.9
3.333,208.25,204.5,246.15,218.9
3.35,208.925,206.0,247.65,218.9
3.367,208.925,207.5,249.15,218.9
3.383,208.925,208.925,250.65,218.9
3.4,208.925,208.925,252.15,218.9
3.417,208.925,208.925,253.65,220.35
3.433,208.925,208.925,255.15,221.85
3.45,208.925,208.925,256.65,223.35
3.467,208.925,208.925,258.15,224.85
3.483,209.75,208.925,259.65,226.35
3.5,211.25,209.45,261.15,227.85
3.517,212.75,210.95,262.65,229.35
3.533,214.25,212.45,264.15,230.85
3.55,215.75,213.95,265.65,232.35
3.567,217.25,215.45,267.15,233.85
3.583,218.75,216.95,268.65,235.35
3.6,220.25,218.45,270.15,236.85
3.617,221.75,219.65,271.65,238.35
3.633,223.25,221.15,273.15,238.775
3.65,224.75,222.65,274.65,238.775
3.667,226.25,224.15,276.15,238.775
3.683,227.75,225.65,277.65,238.775
3.7,229.25,227.15,278.6,238.775
3.717,230.75,228.65,278.6,238.775
3.733,232.25,228.825,278.6,238.775
3.75,233.75,228.825,279.625,238.775
3.767,235.25,228.825,281.125,238.775
3.783,236.75,228.825,282.625,239.95
3.8,238.25,228.825,284.125,241.45
3.817,239.75,228.825,285.625,242.95
3.833,241.25,228.825,287.125,244.45
3.85,242.75,228.825,288.55,245.95
3.867,244.25,229.05,289.7,247.45
3.883,245.75,230.55,291.2,248.95
3.9,247.25,232.05,292.7,250.45
3.917,248.725,233.55,294.2,251.95
3.933,248.725,235.05,295.7,253.45
3.95,248.725,236.55,297.2,254.95
3.967,248.725,238.05,298.5,256.45
3.983,249.325,239.55,299.75,257.95
4.0,250.825,241.05,301.25,259.45
4.017,252.325,242.55,302.75,260.95
4.033,253.825,244.05,304.25,262.45
4.05,255.325,245.55,305.75,263.95
4.067,256.825,247.05,307.25,265.45
4.083,258.325,248.55,308.75,266.95
4.1,259.825,250.05,310.25,268.45
4.117,261.325,251.55,311.75,268.625
4.133,262.825,253.05,313.25,268.625
4.15,264.325,254.55,314.75,268.625
4.167,265.825,256.05,316.25,268.625
4.183,267.325,257.55,317.75,268.625
4.2,268.825,258.675,318.4,268.625
4.217,270.325,258.675,319.0,268.625
4.233,271.825,258.675,320.5,268.625
4.25,273.325,258.675,322.0,270.075
4.267,274.825,258.675,323.5,271.575
4.283,276.325,258.675,325.0,273.075
4.3,277.825,258.675,326.5,274.575
4.317,279.325,258.675,328.0,276.075
4.333,280.825,259.275,328.35,277.575
4.35,282.325,260.775,328.35,279.075
4.367,283.825,262.275,329.825,280.575
4.383,285.325,263.775,331.325,282.075
4.4,286.825,265.275,332.825,283.575
4.417,288.325,266.775,334.325,285.075
4.433,288.525,268.275,335.825,286.575
4.45,288.525,269.775,337.325,288.075
4.467,288.525,271.275,338.825,289.575
4.483,288.525,272.775,340.325,291.075
4.5,288.725,274.275,341.825,292.575
4.517,290.225,275.775,343.325,294.075
4.533,291.725,277.275,344.825,295.575
4.55,293.225,278.575,346.325,297.075
4.567,294.725,278.575,347.825,298.475
4.583,296.225,278.575,348.225,299.65
4.6,297.725,278.575,348.65,301.15
4.617,299.225,278.575,350.15,302.65
4.633,300.725,279.525,351.65,304.15
4.65,302.225,281.025,353.15,305.65
