step,reward,cumulate reward
0.25,2.0,9.5
0.333,3.5,13.0
0.417,2.5,15.5
0.5,1.0,16.5
0.583,4.5,21.0
0.667,2.5,23.5
0.75,3.0,26.5
0.833,3.0,29.5
0.917,2.5,32.0
1.0,3.5,35.5
1.083,2.5,38.0
1.167,2.5,40.5
1.25,4.5,45.0
1.333,3.0,48.0
1.417,1.0,49.0
1.5,3.0,52.0
1.583,5.0,57.0
1.667,1.0,58.0
1.75,1.5,59.5
1.833,3.5,63.0
1.917,3.0,66.0
2.0,3.0,69.0
2.083,2.5,71.5
2.167,3.0,74.5
2.25,2.0,76.5
2.333,3.5,80.0
2.417,4.5,84.5
2.5,2.5,87.0
2.583,2.5,89.5
2.667,2.5,92.0
2.75,1.5,93.5
2.833,2.0,95.5
2.917,4.5,100.0
3.0,3.5,103.5
3.083,2.0,105.5
3.167,1.5,107.0
3.25,3.0,110.0
3.333,2.0,112.0
3.417,4.0,116.0
3.5,3.0,119.0
3.583,3.0,122.0
3.667,3.5,125.5
3.75,2.5,128.0
3.833,3.0,131.0
3.917,3.0,134.0
4.0,3.0,137.0
4.083,1.5,138.5
4.167,3.0,141.5
4.25,2.0,143.5
4.333,3.0,146.5
4.417,3.5,150.0
4.5,2.5,152.5
4.583,2.0,154.5
4.667,3.5,158.0
4.75,4.0,162.0
4.833,1.5,163.5
4.917,3.0,166.5
5.0,4.0,170.5
5.083,2.5,173.0
5.167,3.0,176.0
5.25,2.5,178.5
5.333,2.0,180.5
5.417,3.5,184.0
5.5,2.0,186.0
5.583,3.5,189.5
5.667,2.5,192.0
5.75,3.0,195.0
5.833,3.0,198.0
5.917,3.0,201.0
6.0,2.5,203.5
6.083,4.0,207.5
6.167,2.0,209.5
6.25,2.0,211.5
6.333,3.0,214.5
6.417,2.0,216.5
6.5,3.0,219.5
6.583,2.0,221.5
6.667,2.5,224.0
6.75,1.5,225.5
6.833,3.0,228.5
6.917,3.0,231.5
7.0,3.5,235.0
7.083,2.0,237.0
7.167,2.0,239.0
7.25,4.0,243.0
7.333,1.0,244.0
7.417,3.5,247.5
7.5,3.5,251.0
7.583,3.0,254.0
7.667,3.0,257.0
7.75,2.0,259.0
7.833,3.0,262.0
7.917,3.0,265.0
8.0,3.0,268.0
8.083,1.0,269.0
8.167,3.5,272.5
8.25,2.5,275.0
8.333,4.0,279.0
8.417,3.0,282.0
8.5,2.0,284.0
8.583,3.0,287.0
8.667,2.5,289.5
8.75,1.0,290.5
8.833,3.0,293.5
8.917,3.5,297.0
9.0,3.5,300.5
9.083,3.0,303.5
9.167,1.5,305.0
9.25,3.0,308.0
9.333,4.0,312.0
9.417,2.0,314.0
9.5,2.0,316.0
9.583,1.5,317.5
9.667,3.5,321.0
9.75,2.0,323.0
9.833,3.5,326.5
9.917,2.5,329.0
10.0,2.0,331.0
10.083,1.0,332.0
10.167,3.0,335.0
10.25,3.5,338.5
10.333,1.5,340.0
10.417,3.0,343.0
10.5,2.0,345.0
10.583,2.0,347.0
10.667,3.0,350.0
10.75,2.0,352.0
10.833,2.0,354.0
10.917,2.5,356.5
11.0,2.5,359.0
11.083,3.0,362.0
11.167,2.5,364.5
11.25,2.0,366.5
11.333,2.0,368.5
11.417,3.0,371.5
11.5,3.0,374.5
11.583,2.5,377.0
11.667,2.5,379.5
11.75,2.5,382.0
11.833,2.0,384.0
11.917,3.5,387.5
12.0,1.5,389.0
12.083,2.5,391.5
12.167,1.5,393.0
12.25,3.0,396.0
12.333,2.5,398.5
12.417,3.0,401.5
12.5,0.5,402.0
12.583,4.0,406.0
12.667,1.0,407.0
12.75,2.5,409.5
12.833,2.5,412.0
12.917,2.5,414.5
13.0,3.5,418.0
13.083,1.0,419.0
13.167,2.5,421.5
13.25,3.0,424.5
13.333,3.5,428.0
13.417,1.5,429.5
13.5,2.0,431.5
13.583,3.5,435.0
13.667,2.0,437.0
13.75,3.0,440.0
13.833,2.5,442.5
13.917,2.0,444.5
14.0,1.5,446.0
14.083,3.0,449.0
14.167,3.0,452.0
14.25,3.0,455.0
14.333,1.5,456.5
14.417,2.5,459.0
14.5,3.0,462.0
14.583,3.5,465.5
14.667,1.5,467.0
14.75,2.5,469.5
14.833,3.0,472.5
14.917,2.5,475.0
15.0,3.0,478.0
15.083,2.0,480.0
15.167,3.5,483.5
15.25,1.0,484.5
15.333,3.5,488.0
15.417,2.5,490.5
15.5,2.5,493.0
15.583,2.5,495.5
15.667,3.0,498.5
15.75,2.5,501.0
15.833,2.0,503.0
15.917,2.0,505.0
16.0,2.5,507.5
16.083,0.5,508.0
16.167,3.5,511.5
16.25,3.0,514.5
16.333,0.5,515.0
16.417,1.0,516.0
16.5,3.0,519.0
16.583,1.5,520.5
16.667,1.5,522.0
16.75,3.5,525.5
16.833,2.0,527.5
16.917,2.0,529.5
17.0,1.5,531.0
17.083,3.0,534.0
17.167,1.0,535.0
17.25,1.0,536.0
17.333,1.5,537.5
17.417,1.0,538.5
17.5,1.0,539.5
17.583,1.0,540.5
17.667,1.0,541.5
17.75,0.5,542.0
17.833,2.0,544.0
17.917,2.0,546.0
18.0,0.5,546.5
18.083,1.0,547.5
18.167,0.5,548.0
18.25,1.0,549.0
18.333,1.0,550.0
18.417,1.0,551.0
18.5,0.5,551.5
18.583,1.0,552.5
18.667,0.0,552.5
18.75,1.5,554.0
18.833,0.5,554.5
18.917,0.5,555.0
19.0,1.0,556.0
19.083,0.5,556.5
19.167,1.0,557.5
19.25,0.0,557.5
19.333,0.5,558.0
19.417,1.0,559.0
19.5,1.0,560.0
19.583,0.0,560.0
19.667,0.5,560.5
19.75,0.5,561.0
19.833,0.0,561.0
19.917,0.5,561.5
20.0,1.0,562.5
20.083,1.0,563.5
20.167,1.0,564.5
20.25,0.5,565.0
20.333,0.0,565.0
20.417,0.5,565.5
20.5,0.5,566.0
20.583,0.5,566.5
20.667,0.5,567.0
20.75,1.0,568.0
20.833,0.5,568.5
20.917,1.0,569.5
21.0,1.0,570.5
21.083,0.0,570.5
21.167,1.0,571.5
21.25,0.5,572.0
21.333,1.0,573.0
21.417,0.5,573.5
21.5,0.0,573.5
21.583,1.0,574.5
21.667,0.5,575.0
21.75,1.0,576.0
21.833,1.0,577.0
21.917,0.5,577.5
22.0,0.5,578.0
22.083,0.5,578.5
22.167,1.0,579.5
22.25,0.5,580.0
22.333,0.5,580.5
22.417,1.0,581.5
22.5,0.0,581.5
22.583,0.5,582.0
22.667,0.5,582.5
22.75,0.0,582.5
22.833,0.0,582.5
22.917,1.0,583.5
23.0,0.0,583.5
23.083,1.0,584.5
23.167,0.0,584.5
23.25,0.5,585.0
23.333,0.5,585.5
23.417,0.5,586.0
23.5,0.5,586.5
23.583,1.0,587.5
23.667,1.0,588.5
23.75,0.5,589.0
23.833,1.0,590.0
23.917,0.5,590.5
24.0,0.5,591.0
24.083,0.0,591.0
24.167,0.5,591.5
24.25,0.5,592.0
24.333,0.0,592.0
24.417,0.5,592.5
24.5,0.0,592.5
24.583,1.0,593.5
24.667,0.0,593.5
24.75,0.0,593.5
24.833,1.0,594.5
24.917,0.0,594.5
25.0,0.5,595.0
25.083,0.5,595.5
25.167,0.0,595.5
25.25,0.5,596.0
25.333,0.5,596.5
25.417,0.0,596.5
25.5,0.0,596.5
25.583,0.5,597.0
25.667,0.5,597.5
25.75,0.0,597.5
25.833,0.5,598.0
25.917,1.0,599.0
26.0,0.0,599.0
26.083,0.5,599.5
26.167,0.5,600.0
26.25,0.5,600.5
26.333,0.0,600.5
26.417,0.5,601.0
26.5,0.5,601.5
26.583,0.0,601.5
26.667,0.0,601.5
26.75,0.5,602.0
26.833,0.0,602.0
26.917,0.0,602.0
27.0,0.5,602.5
27.083,0.0,602.5
27.167,0.0,602.5
27.25,0.5,603.0
27.333,0.0,603.0
27.417,0.0,603.0
27.5,0.5,603.5
27.583,0.0,603.5
27.667,0.5,604.0
27.75,0.0,604.0
27.833,0.5,604.5
