step,reward,cumulate reward
0.25,0.0,8.0
0.333,4.5,12.5
0.417,1.0,13.5
0.5,1.5,15.0
0.583,2.5,17.5
0.667,3.0,20.5
0.75,3.0,23.5
0.833,2.0,25.5
0.917,2.0,27.5
1.0,3.0,30.5
1.083,0.5,31.0
1.167,1.5,32.5
1.25,3.5,36.0
1.333,3.5,39.5
1.417,2.5,42.0
1.5,1.5,43.5
1.583,3.0,46.5
1.667,2.5,49.0
1.75,2.0,51.0
1.833,3.0,54.0
1.917,1.5,55.5
2.0,2.5,58.0
2.083,3.5,61.5
2.167,0.5,62.0
2.25,4.0,66.0
2.333,0.5,66.5
2.417,2.5,69.0
2.5,2.5,71.5
2.583,1.0,72.5
2.667,2.5,75.0
2.75,1.5,76.5
2.833,3.5,80.0
2.917,3.5,83.5
3.0,2.0,85.5
3.083,2.0,87.5
3.167,2.5,90.0
3.25,2.0,92.0
3.333,4.0,96.0
3.417,0.5,96.5
3.5,1.5,98.0
3.583,5.0,103.0
3.667,0.5,103.5
3.75,2.5,106.0
3.833,3.5,109.5
3.917,2.5,112.0
4.0,1.5,113.5
4.083,2.0,115.5
4.167,4.0,119.5
4.25,2.5,122.0
4.333,1.0,123.0
4.417,2.5,125.5
4.5,4.0,129.5
4.583,2.5,132.0
4.667,0.5,132.5
4.75,3.0,135.5
4.833,2.0,137.5
4.917,2.5,140.0
5.0,1.0,141.0
5.083,2.5,143.5
5.167,2.0,145.5
5.25,2.5,148.0
5.333,2.5,150.5
5.417,2.0,152.5
5.5,3.0,155.5
5.583,3.5,159.0
5.667,1.5,160.5
5.75,2.0,162.5
5.833,2.0,164.5
5.917,3.0,167.5
6.0,3.0,170.5
6.083,2.0,172.5
6.167,1.5,174.0
6.25,3.5,177.5
6.333,1.0,178.5
6.417,2.5,181.0
6.5,2.0,183.0
6.583,2.5,185.5
6.667,3.5,189.0
6.75,3.0,192.0
6.833,0.5,192.5
6.917,3.0,195.5
7.0,2.0,197.5
7.083,3.0,200.5
7.167,0.5,201.0
7.25,3.5,204.5
7.333,3.0,207.5
7.417,2.0,209.5
7.5,2.0,211.5
7.583,3.0,214.5
7.667,2.5,217.0
7.75,2.0,219.0
7.833,3.0,222.0
7.917,1.0,223.0
8.0,4.0,227.0
8.083,3.0,230.0
8.167,1.0,231.0
8.25,2.5,233.5
8.333,2.0,235.5
8.417,3.0,238.5
8.5,2.5,241.0
8.583,1.0,242.0
8.667,4.0,246.0
8.75,1.5,247.5
8.833,2.5,250.0
8.917,3.5,253.5
9.0,1.0,254.5
9.083,3.5,258.0
9.167,1.5,259.5
9.25,3.5,263.0
9.333,1.0,264.0
9.417,2.0,266.0
9.5,3.0,269.0
9.583,3.5,272.5
9.667,1.5,274.0
9.75,1.5,275.5
9.833,2.0,277.5
9.917,4.0,281.5
10.0,3.5,285.0
10.083,1.5,286.5
10.167,2.5,289.0
10.25,3.5,292.5
10.333,2.0,294.5
10.417,2.0,296.5
10.5,2.5,299.0
10.583,2.0,301.0
10.667,3.5,304.5
10.75,1.0,305.5
10.833,3.0,308.5
10.917,3.0,311.5
11.0,1.5,313.0
11.083,3.0,316.0
11.167,3.0,319.0
11.25,2.5,321.5
11.333,2.0,323.5
11.417,2.5,326.0
11.5,1.5,327.5
11.583,1.0,328.5
11.667,4.5,333.0
11.75,3.0,336.0
11.833,2.0,338.0
11.917,2.5,340.5
12.0,2.5,343.0
12.083,2.5,345.5
12.167,1.0,346.5
12.25,3.0,349.5
12.333,2.0,351.5
12.417,1.0,352.5
12.5,2.5,355.0
12.583,3.0,358.0
12.667,1.5,359.5
12.75,1.0,360.5
12.833,2.5,363.0
12.917,3.0,366.0
13.0,2.5,368.5
13.083,3.0,371.5
13.167,1.0,372.5
13.25,2.5,375.0
13.333,3.0,378.0
13.417,2.5,380.5
13.5,3.0,383.5
13.583,1.5,385.0
13.667,2.0,387.0
13.75,2.5,389.5
13.833,3.5,393.0
13.917,2.0,395.0
14.0,1.5,396.5
14.083,2.5,399.0
14.167,3.0,402.0
14.25,2.0,404.0
14.333,1.5,405.5
14.417,2.0,407.5
14.5,1.5,409.0
14.583,4.0,413.0
14.667,3.5,416.5
14.75,1.0,417.5
14.833,3.0,420.5
14.917,2.0,422.5
15.0,4.0,426.5
15.083,2.5,429.0
15.167,2.0,431.0
15.25,2.5,433.5
15.333,2.0,435.5
15.417,0.5,436.0
15.5,2.5,438.5
15.583,2.5,441.0
15.667,2.0,443.0
15.75,3.0,446.0
15.833,2.5,448.5
15.917,2.5,451.0
16.0,2.5,453.5
16.083,3.0,456.5
16.167,2.0,458.5
16.25,3.0,461.5
16.333,3.0,464.5
16.417,1.0,465.5
16.5,2.5,468.0
16.583,2.5,470.5
16.667,3.0,473.5
16.75,2.0,475.5
16.833,1.5,477.0
16.917,2.0,479.0
17.0,3.0,482.0
17.083,3.0,485.0
17.167,2.0,487.0
17.25,1.5,488.5
17.333,2.5,491.0
17.417,3.0,494.0
17.5,3.0,497.0
17.583,2.5,499.5
17.667,1.0,500.5
17.75,4.0,504.5
17.833,2.0,506.5
17.917,2.0,508.5
18.0,2.0,510.5
18.083,2.5,513.0
18.167,3.5,516.5
18.25,2.0,518.5
18.333,1.0,519.5
18.417,2.5,522.0
18.5,3.0,525.0
18.583,2.5,527.5
18.667,2.5,530.0
18.75,2.0,532.0
18.833,2.5,534.5
18.917,2.5,537.0
19.0,2.0,539.0
19.083,1.5,540.5
19.167,2.5,543.0
19.25,3.5,546.5
19.333,2.0,548.5
19.417,2.5,551.0
19.5,2.5,553.5
19.583,4.0,557.5
19.667,2.0,559.5
19.75,1.5,561.0
19.833,3.0,564.0
19.917,3.0,567.0
20.0,1.0,568.0
20.083,5.0,573.0
20.167,1.0,574.0
20.25,3.0,577.0
20.333,2.5,579.5
20.417,2.0,581.5
20.5,2.5,584.0
20.583,3.0,587.0
20.667,2.0,589.0
20.75,2.0,591.0
20.833,3.0,594.0
20.917,1.0,595.0
21.0,3.5,598.5
21.083,1.5,600.0
21.167,3.0,603.0
21.25,2.5,605.5
